1.591,3.951,4.000
1.403,3.882,4.030
1.226,3.791,4.059
1.059,3.681,4.093
0.904,3.555,4.196
0.760,3.416,4.314
0.628,3.267,4.438
0.506,3.108,4.565
0.396,2.942,4.692
0.296,2.768,4.819
0.207,2.590,4.947
0.127,2.407,5.077
0.057,2.220,5.209
-0.005,2.030,5.343
-0.058,1.837,5.479
-0.103,1.642,5.618
-0.141,1.446,5.760
-0.172,1.249,5.905
-0.197,1.051,6.054
-0.216,0.852,6.207
-0.230,0.652,6.364
-0.239,0.453,6.525
-0.245,0.253,6.683
-0.247,0.053,6.836
-0.245,-0.146,6.987
-0.242,-0.346,7.133
-0.237,-0.546,7.277
-0.231,-0.746,7.418
-0.223,-0.945,7.556
-0.215,-1.145,7.692
-0.205,-1.344,7.825
-0.194,-1.544,7.956
-0.183,-1.743,8.084
-0.171,-1.943,8.211
-0.158,-2.142,8.335
-0.145,-2.342,8.457
-0.132,-2.541,8.500
-0.119,-2.740,8.500
-0.106,-2.940,8.500
-0.093,-3.139,8.500
-0.081,-3.339,8.500
-0.069,-3.538,8.500
-0.058,-3.738,8.500
-0.048,-3.937,8.500
-0.038,-4.137,8.500
-0.030,-4.336,8.500
-0.022,-4.536,8.500
-0.015,-4.736,8.478
-0.008,-4.935,8.261
0.000,-5.135,8.057
0.009,-5.334,7.865
0.020,-5.534,7.684
0.032,-5.733,7.514
0.048,-5.933,7.353
0.066,-6.132,7.203
0.088,-6.330,7.061
0.114,-6.528,6.927
0.144,-6.726,6.802
0.179,-6.922,6.686
0.220,-7.118,6.577
0.267,-7.312,6.476
0.320,-7.505,6.384
0.379,-7.696,6.301
0.446,-7.884,6.227
0.520,-8.069,6.163
0.602,-8.252,6.112
0.692,-8.430,6.075
0.791,-8.604,6.054
0.898,-8.772,6.051
1.015,-8.934,6.049
1.139,-9.090,6.054
1.272,-9.240,6.074
1.412,-9.382,6.106
1.558,-9.518,6.147
1.710,-9.648,6.196
1.868,-9.771,6.251
2.030,-9.887,6.310
2.197,-9.997,6.372
2.368,-10.100,6.434
2.543,-10.196,6.496
2.722,-10.286,6.559
2.903,-10.370,6.622
3.088,-10.447,6.685
3.275,-10.517,6.748
3.464,-10.581,6.811
3.655,-10.639,6.875
3.848,-10.690,6.938
4.043,-10.735,6.935
4.239,-10.775,6.862
4.436,-10.808,6.779
4.634,-10.835,6.686
4.832,-10.856,6.583
5.032,-10.871,6.469
5.231,-10.881,6.343
5.431,-10.885,6.205
5.631,-10.883,6.052
5.830,-10.876,5.901
6.030,-10.862,5.759
6.228,-10.841,5.626
6.426,-10.813,5.501
6.622,-10.776,5.383
6.817,-10.729,5.270
7.008,-10.673,5.155
7.197,-10.607,5.037
7.381,-10.530,4.915
7.561,-10.443,4.791
7.735,-10.345,4.665
7.902,-10.236,4.537
8.062,-10.115,4.409
8.212,-9.983,4.280
8.351,-9.840,4.153
8.478,-9.686,4.028
8.589,-9.520,3.907
8.684,-9.344,3.793
8.759,-9.159,3.686
8.811,-8.966,3.595
8.839,-8.769,3.522
8.838,-8.569,3.492
8.806,-8.372,3.491
8.743,-8.183,3.489
8.652,-8.005,3.540
8.538,-7.841,3.621
8.405,-7.693,3.712
8.254,-7.561,3.811
8.090,-7.447,3.911
7.916,-7.351,4.010
7.732,-7.272,4.105
7.542,-7.211,4.202
7.347,-7.166,4.338
7.150,-7.133,4.510
6.952,-7.110,4.716
6.752,-7.095,4.933
6.553,-7.085,5.141
6.353,-7.078,5.341
6.154,-7.070,5.318
5.954,-7.060,5.054
5.755,-7.045,4.825
5.556,-7.022,4.632
5.359,-6.990,4.473
5.165,-6.945,4.353
4.974,-6.884,4.280
4.790,-6.807,4.267
4.615,-6.710,4.265
4.452,-6.595,4.263
4.301,-6.464,4.303
4.163,-6.320,4.371
4.038,-6.164,4.449
3.926,-5.999,4.539
3.826,-5.826,4.636
3.739,-5.646,4.738
3.663,-5.461,4.844
3.600,-5.272,4.953
3.547,-5.079,5.065
3.505,-4.884,5.178
3.474,-4.687,5.292
3.452,-4.488,5.408
3.439,-4.289,5.528
3.434,-4.089,5.651
3.437,-3.889,5.778
3.448,-3.690,5.911
3.465,-3.491,6.049
3.488,-3.292,6.193
3.516,-3.095,6.345
3.550,-2.898,6.504
3.587,-2.701,6.662
3.627,-2.506,6.816
3.671,-2.311,6.967
3.716,-2.116,7.114
3.763,-1.922,7.259
3.811,-1.728,7.400
3.859,-1.534,7.538
3.907,-1.340,7.674
3.954,-1.146,7.536
3.999,-0.951,7.342
4.042,-0.756,7.159
4.083,-0.560,6.985
4.121,-0.364,6.820
4.154,-0.167,6.662
4.184,0.030,6.511
4.209,0.229,6.365
4.228,0.427,6.224
4.242,0.627,6.087
4.249,0.826,5.954
4.250,1.026,5.824
4.243,1.226,5.697
4.228,1.425,5.571
4.205,1.624,5.445
4.173,1.821,5.320
4.132,2.016,5.196
4.081,2.209,5.071
4.020,2.400,4.949
3.948,2.586,4.828
3.865,2.768,4.709
3.771,2.944,4.593
3.664,3.113,4.482
3.545,3.273,4.381
3.413,3.423,4.299
3.269,3.561,4.243
3.112,3.684,4.208
2.942,3.790,4.173
2.763,3.877,4.139
2.575,3.945,4.091
2.381,3.992,4.046
2.183,4.018,4.011
1.983,4.020,4.004
1.785,3.998,4.002
